symbol,ex_code,sectype,currency,name,sector,industry,startdate,enddate
DX-Y.NYB,CBOE,Indices,USD,US Dollar Index,none,none,1990-01-01,2022-06-17
^DJI,NYSE,Indices,USD,Dow Jones Industrial Average,none,none,1990-01-02,2022-06-16
^FVX,NYBOT,Indices,USD,Treasury Yield 5 Years,none,none,1993-10-29,2022-06-15
^GDAXI,XETRA,Indices,EUR,Dax Performance Index,none,none,1993-12-14,2022-06-17
^GSPC,NYSE,Indices,USD,S&P 500 Index,none,none,1990-01-02,2022-06-16
^HSCE,HKSE,Indices,HKD,Hang Seng China Enterprise Index,none,none,1994-08-08,2022-06-17
^HSI,HKSE,Indices,HKD,Hang Seng Index,none,none,1990-01-02,2022-06-17
^IRX,NYBOT,Indices,USD,13 Week Treasury Bill,none,none,1993-10-25,2022-06-15
^TNX,NYBOT,Indices,USD,Treasury Yield 10 Years,none,none,1993-10-29,2022-06-15
^TYX,NYBOT,Indices,USD,Treasury Yield 30 Years,none,none,1993-10-29,2022-06-15
^VIX,CBOE,Indices,USD,CBOE Volatility Index,none,none,1992-01-02,2022-06-17
^VXN,CBOE,Indices,USD,CBOE NASDAQ 100 Voltility,none,none,2001-01-23,2022-06-16
