symbol,ex_code,sectype,currency,name,sector,industry,startdate,enddate
0001.HK,HKSE,hkstock,HKD,CKH HOLDINGS,Conglomerates,none,2000-01-04,2022-09-02
0019.HK,HKSE,hkstock,HKD,SWIRE PACIFIC A,Conglomerates,none,2000-01-04,2022-09-02
0087.HK,HKSE,hkstock,HKD,SWIRE PACIFIC B,Conglomerates,none,2000-01-04,2022-09-02
0242.HK,HKSE,hkstock,HKD,SHUN TAK HOLD,Conglomerates,none,2000-01-04,2022-09-02
0267.HK,HKSE,hkstock,HKD,CITIC,Conglomerates,none,2000-01-04,2022-09-02
0363.HK,HKSE,hkstock,HKD,SHANGHAI IND H,Conglomerates,none,2000-01-04,2022-09-02
0656.HK,HKSE,hkstock,HKD,FOSUN INTL,Conglomerates,none,2007-07-16,2022-09-02
0659.HK,HKSE,hkstock,HKD,NWS HOLDINGS,Conglomerates,none,2003-02-24,2022-09-02
1282.HK,HKSE,hkstock,HKD,GLORY SUN FIN,Conglomerates,none,2010-12-15,2022-09-02
0027.HK,HKSE,hkstock,HKD,GALAXY ENT,Consumer Discretionary,none,2000-01-04,2022-09-02
0066.HK,HKSE,hkstock,HKD,MTR CORPORATION,Consumer Discretionary,none,2000-10-09,2022-09-02
0069.HK,HKSE,hkstock,HKD,SHANGRI-LA ASIA,Consumer Discretionary,none,2000-01-04,2022-09-02
0078.HK,HKSE,hkstock,HKD,REGAL INT'L,Consumer Discretionary,none,2002-10-18,2022-09-02
0116.HK,HKSE,hkstock,HKD,CHOW SANG SANG,Consumer Discretionary,none,2000-01-07,2022-09-02
0175.HK,HKSE,hkstock,HKD,GEELY AUTO,Consumer Discretionary,none,2005-09-29,2022-09-02
0178.HK,HKSE,hkstock,HKD,SA SA INT'L,Consumer Discretionary,none,2000-01-04,2022-09-02
0179.HK,HKSE,hkstock,HKD,JOHNSON ELEC H,Consumer Discretionary,none,2000-08-29,2022-09-02
0200.HK,HKSE,hkstock,HKD,MELCO INT'L DEV,Consumer Discretionary,none,2000-01-04,2022-09-02
0256.HK,HKSE,hkstock,HKD,CITYCHAMP,Consumer Discretionary,none,2000-01-04,2022-09-02
0293.HK,HKSE,hkstock,HKD,CATHAY PAC AIR,Consumer Discretionary,none,2000-01-04,2022-09-02
0308.HK,HKSE,hkstock,HKD,CHINA TRAVEL HK,Consumer Discretionary,none,2000-01-04,2022-09-02
0341.HK,HKSE,hkstock,HKD,CAFE DE CORAL H,Consumer Discretionary,none,2000-01-04,2022-09-02
0425.HK,HKSE,hkstock,HKD,MINTH GROUP,Consumer Discretionary,none,2005-12-01,2022-09-02
0489.HK,HKSE,hkstock,HKD,DONGFENG GROUP,Consumer Discretionary,none,2005-12-07,2022-09-02
0493.HK,HKSE,hkstock,HKD,GOME RETAIL,Consumer Discretionary,none,2004-09-10,2022-09-02
0520.HK,HKSE,hkstock,HKD,XIABUXIABU,Consumer Discretionary,none,2014-12-17,2022-09-02
0525.HK,HKSE,hkstock,HKD,GUANGSHEN RAIL,Consumer Discretionary,none,2000-01-04,2022-09-02
0551.HK,HKSE,hkstock,HKD,YUE YUEN IND,Consumer Discretionary,none,2003-03-11,2022-09-02
0582.HK,HKSE,hkstock,HKD,LANDING INTL,Consumer Discretionary,none,2002-04-30,2022-09-02
0590.HK,HKSE,hkstock,HKD,LUK FOOK HOLD,Consumer Discretionary,none,2000-01-04,2022-09-02
0667.HK,HKSE,hkstock,HKD,CHINA EAST EDU,Consumer Discretionary,none,2019-06-12,2022-09-02
0669.HK,HKSE,hkstock,HKD,TECHTRONIC IND,Consumer Discretionary,none,2004-06-14,2022-09-02
0670.HK,HKSE,hkstock,HKD,CHINA EAST AIR,Consumer Discretionary,none,2000-01-04,2022-09-02
0694.HK,HKSE,hkstock,HKD,BEIJING AIRPORT,Consumer Discretionary,none,2000-02-01,2022-09-02
0709.HK,HKSE,hkstock,HKD,GIORDANO INT'L,Consumer Discretionary,none,2000-08-25,2022-09-02
0751.HK,HKSE,hkstock,HKD,SKYWORTH GROUP,Consumer Discretionary,none,2000-04-07,2022-09-02
0753.HK,HKSE,hkstock,HKD,AIR CHINA,Consumer Discretionary,none,2004-12-15,2022-09-02
0772.HK,HKSE,hkstock,HKD,CHINA LIT,Consumer Discretionary,none,2017-11-08,2022-09-02
0780.HK,HKSE,hkstock,HKD,TONGCHENG-ELONG,Consumer Discretionary,none,2018-11-26,2022-09-02
0839.HK,HKSE,hkstock,HKD,CHINA EDU GROUP,Consumer Discretionary,none,2017-12-15,2022-09-02
0880.HK,HKSE,hkstock,HKD,SJM HOLDINGS,Consumer Discretionary,none,2008-07-16,2022-09-02
0881.HK,HKSE,hkstock,HKD,ZHONGSHENG HLDG,Consumer Discretionary,none,2010-03-26,2022-09-02
0973.HK,HKSE,hkstock,HKD,L'OCCITANE,Consumer Discretionary,none,2010-05-07,2022-09-02
1055.HK,HKSE,hkstock,HKD,CHINA SOUTH AIR,Consumer Discretionary,none,2000-01-04,2022-09-02
1060.HK,HKSE,hkstock,HKD,ALI PICTURES,Consumer Discretionary,none,2003-01-08,2022-09-02
1070.HK,HKSE,hkstock,HKD,TCL ELECTRONICS,Consumer Discretionary,none,2000-01-04,2022-09-02
1121.HK,HKSE,hkstock,HKD,GOLDENSOLAR,Consumer Discretionary,none,2011-01-28,2022-09-02
1128.HK,HKSE,hkstock,HKD,WYNN MACAU,Consumer Discretionary,none,2009-10-09,2022-09-02
1179.HK,HKSE,hkstock,HKD,HUAZHU-S,Consumer Discretionary,none,2020-09-22,2022-09-02
1211.HK,HKSE,hkstock,HKD,BYD COMPANY,Consumer Discretionary,none,2002-07-31,2022-09-02
1212.HK,HKSE,hkstock,HKD,LIFESTYLE INT'L,Consumer Discretionary,none,2005-09-29,2022-09-02
1234.HK,HKSE,hkstock,HKD,CHINA LILANG,Consumer Discretionary,none,2009-09-25,2022-09-02
1268.HK,HKSE,hkstock,HKD,MEIDONG AUTO,Consumer Discretionary,none,2013-12-05,2022-09-02
1269.HK,HKSE,hkstock,HKD,FIRST CAP GP,Consumer Discretionary,none,2011-11-23,2022-09-02
1293.HK,HKSE,hkstock,HKD,GRAND BAOXIN,Consumer Discretionary,none,2011-12-14,2022-09-02
1316.HK,HKSE,hkstock,HKD,NEXTEER,Consumer Discretionary,none,2013-10-07,2022-09-02
1368.HK,HKSE,hkstock,HKD,XTEP INT'L,Consumer Discretionary,none,2008-06-03,2022-09-02
1382.HK,HKSE,hkstock,HKD,PACIFICTEXTILES,Consumer Discretionary,none,2007-05-18,2022-09-02
1448.HK,HKSE,hkstock,HKD,FU SHOU YUAN,Consumer Discretionary,none,2013-12-19,2022-09-02
1569.HK,HKSE,hkstock,HKD,MINSHENG EDU,Consumer Discretionary,none,2017-03-23,2022-09-02
1585.HK,HKSE,hkstock,HKD,YADEA,Consumer Discretionary,none,2016-05-19,2022-09-02
1691.HK,HKSE,hkstock,HKD,JS GLOBAL LIFE,Consumer Discretionary,none,2019-12-18,2022-09-02
1728.HK,HKSE,hkstock,HKD,ZHENGTONGAUTO,Consumer Discretionary,none,2010-12-10,2022-09-02
1765.HK,HKSE,hkstock,HKD,HOPE EDU,Consumer Discretionary,none,2018-08-03,2022-09-02
1769.HK,HKSE,hkstock,HKD,SCHOLAR EDU,Consumer Discretionary,none,2019-06-21,2022-09-02
1773.HK,HKSE,hkstock,HKD,TIANLI EDU,Consumer Discretionary,none,2018-07-12,2022-09-02
1797.HK,HKSE,hkstock,HKD,KOOLEARN,Consumer Discretionary,none,2019-03-28,2022-09-02
1817.HK,HKSE,hkstock,HKD,MULSANNE GROUP,Consumer Discretionary,none,2019-05-27,2022-09-02
1836.HK,HKSE,hkstock,HKD,STELLA HOLDINGS,Consumer Discretionary,none,2007-07-06,2022-09-02
1848.HK,HKSE,hkstock,HKD,CALC,Consumer Discretionary,none,2014-10-10,2022-09-02
1860.HK,HKSE,hkstock,HKD,MOBVISTA,Consumer Discretionary,none,2018-12-12,2022-09-02
