symbol,ex_code,sectype,currency,name,sector,industry,startdate,enddate
ATVI,ARCA,largecap,USD,Activision Blizzard,Communication Services,Interactive Home Entertainment,1993-10-25,2022-06-03
CHTR,ARCA,largecap,USD,Charter Communications,Communication Services,Cable & Satellite,2010-01-05,2022-06-03
CMCSA,ARCA,largecap,USD,Comcast Corp.,Communication Services,Cable & Satellite,1990-01-02,2022-06-03
DIS,ARCA,largecap,USD,The Walt Disney Company,Communication Services,Movies & Entertainment,1990-01-02,2022-06-03
DISH,ARCA,largecap,USD,Dish Network,Communication Services,Cable & Satellite,1995-06-21,2022-06-03
EA,ARCA,largecap,USD,Electronic Arts,Communication Services,Interactive Home Entertainment,1990-01-02,2022-06-03
FB,ARCA,largecap,USD,"Facebook, Inc.",Communication Services,Interactive Media & Services,2012-05-18,2022-06-03
FOXA,ARCA,largecap,USD,Fox Corporation Class A,Communication Services,Movies & Entertainment,2019-03-12,2022-06-03
GOOG,ARCA,largecap,USD,Alphabet Inc Class C,Communication Services,Interactive Media & Services,2004-08-19,2022-06-03
IPG,ARCA,largecap,USD,Interpublic Group,Communication Services,Advertising,1990-01-02,2022-06-03
LYV,ARCA,largecap,USD,Live Nation Entertainment,Communication Services,Movies & Entertainment,2005-12-21,2022-06-03
NFLX,ARCA,largecap,USD,Netflix Inc.,Communication Services,Movies & Entertainment,2002-05-23,2022-06-03
NWSA,ARCA,largecap,USD,News Corp. Class A,Communication Services,Publishing,2013-06-19,2022-06-03
OMC,ARCA,largecap,USD,Omnicom Group,Communication Services,Advertising,1990-01-02,2022-06-03
T,ARCA,largecap,USD,AT&T Inc.,Communication Services,Integrated Telecommunication Services,1990-01-02,2022-06-03
TMUS,ARCA,largecap,USD,T-Mobile US,Communication Services,Wireless Telecommunication Services,2007-04-19,2022-06-03
TTWO,ARCA,largecap,USD,Take-Two Interactive,Communication Services,Interactive Home Entertainment,1997-04-15,2022-06-03
TWTR,ARCA,largecap,USD,"Twitter, Inc.",Communication Services,Interactive Media & Services,2013-11-07,2022-06-03
VZ,ARCA,largecap,USD,Verizon Communications,Communication Services,Integrated Telecommunication Services,1990-01-02,2022-06-03
AAP,ARCA,largecap,USD,Advance Auto Parts,Consumer Discretionary,Automotive Retail,2001-11-29,2022-06-03
