symbol,ex_code,sectype,currency,name,sector,industry,startdate,enddate
BIDU,ARCA,usstock,USD,Baidu Inc,Communication Services,Interactive Media & Services,2005-08-05,2021-10-15
DOYU,ARCA,usstock,USD,DOUYU INTERNATIONAL HOLDINGS LTD,Communication Services,Entertainment,2019-07-17,2021-10-15
HUYA,ARCA,usstock,USD,HUYA Inc,Communication Services,Entertainment,2018-05-11,2021-10-15
IRDM,ARCA,usstock,USD,IRIDIUM COMMUNICATIONS INC,Communication Services,Diversified Telecommunication Services,2008-03-20,2021-10-15
NTES,ARCA,usstock,USD,NETEASE INC,Communication Services,Entertainment,2000-06-30,2021-10-15
PERI,ARCA,usstock,USD,PERION NETWORK LTD,Communication Services,Media,2006-01-31,2021-10-15
PINS,ARCA,usstock,USD,Pinterest Inc,Communication Services,Interactive Media & Services,2019-04-18,2021-10-15
SE,ARCA,usstock,USD,Sea Ltd,Communication Services,Entertainment,2017-10-20,2021-10-15
SNAP,ARCA,usstock,USD,Snapchat Inc,Communication Services,Interactive Media & Services,2017-03-02,2021-10-15
SPOT,ARCA,usstock,USD,Spotify Technology,Communication Services,Entertainment,2018-04-03,2021-10-15
WB,ARCA,usstock,USD,Weibo Corporation,Communication Services,Interactive Media & Services,2014-04-17,2021-10-15
Z,ARCA,usstock,USD,Zillow Group Inc,Communication Services,Interactive Media & Services,2015-08-03,2021-10-15
BABA,ARCA,usstock,USD,Alibaba Group Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,2014-09-19,2021-10-15
CHWY,ARCA,usstock,USD,Chewy Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2019-06-14,2021-10-15
CVNA,ARCA,usstock,USD,Carvana Co,Consumer Discretionary,Specialty Retail,2017-04-28,2021-10-15
DADA,ARCA,usstock,USD,DADA NEXUS LTD,Consumer Discretionary,Internet & Direct Marketing Retail,2020-06-05,2021-10-15
EDU,ARCA,usstock,USD,New Oriental Education,Consumer Discretionary,Diversified Consumer Services,2006-09-15,2021-10-15
FVRR,ARCA,usstock,USD,FIVERR INTERNATIONAL LTD,Consumer Discretionary,Internet & Direct Marketing Retail,2019-06-13,2021-10-15
JD,ARCA,usstock,USD,JD com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2014-05-22,2021-10-15
JMIA,ARCA,usstock,USD,JUMIA TECHNOLOGIES AG,Consumer Discretionary,Internet & Direct Marketing Retail,2019-04-12,2021-10-15
MELI,ARCA,usstock,USD,MercadoLibre Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2007-08-10,2021-10-15
MLCO,ARCA,usstock,USD,Melco Resorts & Entertainment,Consumer Discretionary,Hotels Restaurants & Leisure,2006-12-19,2021-10-15
NIO,ARCA,usstock,USD,NIO,Consumer Discretionary,Automobiles,2018-09-12,2021-10-15
NIU,ARCA,usstock,USD,NIU TECHNOLOGIES,Consumer Discretionary,Automobiles,2018-10-19,2021-10-15
OSTK,ARCA,usstock,USD,Overstock.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2002-05-30,2021-10-15
PDD,ARCA,usstock,USD,Pinduoduo Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2018-07-26,2021-10-15
PTON,ARCA,usstock,USD,Peloton Interactive Inc,Consumer Discretionary,Leisure Products,2019-09-26,2021-10-15
ROKU,ARCA,usstock,USD,Roku Inc,Consumer Discretionary,Consumer Electronics,2017-09-28,2021-10-15
RVLV,ARCA,usstock,USD,Revolve Group Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2019-06-07,2021-10-15
SFIX,ARCA,usstock,USD,Stitch Fix Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2017-11-17,2021-10-15
SSTK,ARCA,usstock,USD,Shutterstock Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2012-10-11,2021-10-15
W,ARCA,usstock,USD,Wayfair Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2014-10-02,2021-10-15
WKHS,ARCA,usstock,USD,WORKHORSE GROUP INC,Consumer Discretionary,Auto Components,2010-06-02,2021-10-15
XPEL,ARCA,usstock,USD,XPEL INC,Consumer Discretionary,Auto Components,2019-07-02,2021-10-15
XPEV,ARCA,usstock,USD,XPENG INC,Consumer Discretionary,Automobiles,2020-08-27,2021-10-15
BYND,ARCA,usstock,USD,Beyond Meat Inc,Consumer Staples,Food Products,2019-05-02,2021-10-15
REGI,ARCA,usstock,USD,Renewable Energy Group Inc,Energy,"Oil, Gas & Consumable Fuels",2012-01-19,2021-10-15
MARA,ARCA,usstock,USD,MARATHON PATENT GROUP INC,Financial Services,Capital Markets,2012-05-04,2021-10-15
FUTU,ARCA,usstock,USD,FUTU HOLDINGS LTD,Financials,Capital Markets,2019-03-08,2021-10-15
HASI,ARCA,usstock,USD,Hannon Armstrong Sustainable Infrastructure Capital Inc,Financials,Mortgage REITs,2013-04-18,2021-10-15
HDB,ARCA,usstock,USD,HDFC BANK LTD,Financials,Banks,2001-07-20,2021-10-15
IBKR,ARCA,usstock,USD,INTERACTIVE BROKERS GROUP INC,Financials,Capital Markets,2007-05-04,2021-10-15
LC,ARCA,usstock,USD,LENDINGCLUB CORP,Financials,Consumer Finance,2014-12-11,2021-10-15
SI,ARCA,usstock,USD,SILVERGATE CAPITAL CORP,Financials,Banks,2019-11-07,2021-10-15
ACCD,ARCA,usstock,USD,ACCOLADE INC,Health Care,Health Care Technology,2020-07-01,2021-10-15
ADPT,ARCA,usstock,USD,Adaptive Biotechnologies,Health Care,Life Sciences Tools & Services,2019-06-27,2021-10-15
AQB,ARCA,usstock,USD,Aquabounty Technologies,Health Care,Biotechnology,2017-01-09,2021-10-15
AVTR,ARCA,usstock,USD,Avantor Inc,Health Care,Life Sciences Tools & Services,2019-05-17,2021-10-15
BEAM,ARCA,usstock,USD,BEAM THERAPEUTICS INC,Health Care,Biotechnology,2020-02-06,2021-10-15
BLI,ARCA,usstock,USD,BERKELEY LIGHTS INC,Health Care,Life Sciences Tools & Services,2020-07-17,2021-10-15
CDNA,ARCA,usstock,USD,CareDx Inc,Health Care,Biotechnology,2014-07-17,2021-10-15
CDXS,ARCA,usstock,USD,Codexis Inc,Health Care,Life Sciences Tools & Services,2010-04-22,2021-10-15
CERS,ARCA,usstock,USD,Cerus Corp,Health Care,Health Care Equipment & Supplies,1997-01-31,2021-10-15
CGEN,ARCA,usstock,USD,Compugen Ltd,Health Care,Life Sciences Tools & Services,2000-08-11,2021-10-15
CLLS,ARCA,usstock,USD,Cellectis,Health Care,Biotechnology,2015-03-25,2021-10-15
CRSP,ARCA,usstock,USD,CRISPR Therapeutics AG,Health Care,Biotechnology,2016-10-19,2021-10-15
CSTL,ARCA,usstock,USD,Castle Biosciences,Health Care,Biotechnology,2019-07-25,2021-10-15
EDIT,ARCA,usstock,USD,Editas Medicine Inc,Health Care,Biotechnology,2016-02-03,2021-10-15
EVGN,ARCA,usstock,USD,EVOGENE LTD,Health Care,Biotechnology,2010-12-13,2021-10-15
EXAS,ARCA,usstock,USD,EXACT SCIENCES CORP,Health Care,Biotechnology,2001-02-01,2021-10-15
FATE,ARCA,usstock,USD,Fate Therapeutics Inc,Health Care,Biotechnology,2013-10-01,2021-10-15
FLGT,ARCA,usstock,USD,FULGENT GENETICS INC,Health Care,Health Care Providers & Services,2016-09-29,2021-10-15
GH,ARCA,usstock,USD,Guardant Health Inc,Health Care,Health Care Providers & Services,2018-10-04,2021-10-15
INMD,ARCA,usstock,USD,INMODE LTD,Health Care,Health Care Equipment & Supplies,2019-08-08,2021-10-15
INO,ARCA,usstock,USD,Inovio Pharma,Health Care,Biotechnology,1998-12-08,2021-10-15
IONS,ARCA,usstock,USD,Ionis Pharmaceuticals,Health Care,Biotechnology,1991-05-17,2021-10-15
IOVA,ARCA,usstock,USD,Iovance Biotherapeutics,Health Care,Biotechnology,2010-10-15,2021-10-15
MCRB,ARCA,usstock,USD,Seres Theraptc,Health Care,Biotechnology,2015-06-26,2021-10-15
MRNA,ARCA,usstock,USD,Moderna Inc,Health Care,Biotechnology,2018-12-07,2021-10-15
NNOX,ARCA,usstock,USD,NANOX IMAGING LTD,Health Care,Health Care Equipment & Supplies,2020-08-21,2021-10-15
